Geo_Code,Prov_Name,CMACA_Name,Topic,Characteristic,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
48,Alberta,,Age characteristics,   80 to 84 years,,57725,,24810,,32915,
48,Alberta,,Age characteristics,   85 years and over,,51485,,17095,,34390,
48,Alberta,,Marital status,Total population 15 years and over by marital status,6,2960470,,1476730,,1483735,
48,Alberta,,Marital status,   Married or living with a common-law partner,,1756855,,881840,,875015,
48,Alberta,,Marital status,      Married (and not separated),,1484700,,745670,,739035,
48,Alberta,,Marital status,      Living common law,,272155,,136180,,135980,
48,Alberta,,Marital status,   Not married and not living with a common-law partner,,1203610,,594890,,608725,
48,Alberta,,Marital status,      Single (never legally married),,823935,,460575,,363355,
48,Alberta,,Marital status,      Separated,,70860,,31685,,39170,
48,Alberta,,Marital status,      Divorced,,177375,,75875,,101500,
48,Alberta,,Marital status,      Widowed,,131440,,26745,,104695,
59,British Columbia,,Population and dwelling counts,Population in 2011,1,4400057,+,,...,,...
59,British Columbia,,Population and dwelling counts,Population in 2006,1,4113487,+,,...,,...
59,British Columbia,,Population and dwelling counts,2006 to 2011 population change (%),,7,,,...,,...
59,British Columbia,,Population and dwelling counts,Total private dwellings,2,1945365,,,...,,...
59,British Columbia,,Population and dwelling counts,Private dwellings occupied by usual residents,3,1764637,,,...,,...
59,British Columbia,,Population and dwelling counts,Population density per square kilometre,,4.8,,,...,,...
59,British Columbia,,Population and dwelling counts,Land area (square km),,922509.29,,,...,,...
59,British Columbia,,Age characteristics,Total population by age groups,4,4400055,,2156600,,2243455,
59,British Columbia,,Age characteristics,   0 to 4 years,,219665,,112885,,106775,
59,British Columbia,,Age characteristics,   5 to 9 years,,218915,,112200,,106715,
59,British Columbia,,Age characteristics,   10 to 14 years,,238780,,122465,,116315,
59,British Columbia,,Age characteristics,   15 to 19 years,,275165,,141670,,133500,
59,British Columbia,,Age characteristics,      15 years,,53725,,27620,,26110,
59,British Columbia,,Age characteristics,      16 years,,54885,,28475,,26410,
59,British Columbia,,Age characteristics,      17 years,,55400,,28510,,26885,
59,British Columbia,,Age characteristics,      18 years,,55380,,28425,,26955,
59,British Columbia,,Age characteristics,      19 years,,55785,,28640,,27140,
59,British Columbia,,Age characteristics,   20 to 24 years,,279825,,142290,,137535,
59,British Columbia,,Age characteristics,   25 to 29 years,,288780,,143475,,145305,
59,British Columbia,,Age characteristics,   30 to 34 years,,275985,,135220,,140755,
59,British Columbia,,Age characteristics,   35 to 39 years,,280870,,135455,,145415,
59,British Columbia,,Age characteristics,   40 to 44 years,,313765,,151430,,162335,
59,British Columbia,,Age characteristics,   45 to 49 years,,350600,,170580,,180020,
59,British Columbia,,Age characteristics,   50 to 54 years,,354610,,172060,,182550,
59,British Columbia,,Age characteristics,   55 to 59 years,,323335,,157455,,165880,
59,British Columbia,,Age characteristics,   60 to 64 years,,291040,,142645,,148395,
59,British Columbia,,Age characteristics,   65 to 69 years,,210900,,103785,,107115,
59,British Columbia,,Age characteristics,   70 to 74 years,,160715,,77350,,83360,
59,British Columbia,,Age characteristics,   75 to 79 years,,127480,,60720,,66760,
59,British Columbia,,Age characteristics,   80 to 84 years,,96945,,42745,,54200,
59,British Columbia,,Age characteristics,   85 years and over,,92675,,32150,,60520,
59,British Columbia,,Marital status,Total population 15 years and over by marital status,6,3722695,,1809045,,1913650,
59,British Columbia,,Marital status,   Married or living with a common-law partner,,2154575,,1074965,,1079610,
59,British Columbia,,Marital status,      Married (and not separated),,1832605,,913430,,919175,
59,British Columbia,,Marital status,      Living common law,,321965,,161530,,160435,
59,British Columbia,,Marital status,   Not married and not living with a common-law partner,,1568120,,734075,,834040,
59,British Columbia,,Marital status,      Single (never legally married),,1014270,,550830,,463435,
59,British Columbia,,Marital status,      Separated,,102040,,43570,,58470,
59,British Columbia,,Marital status,      Divorced,,246515,,98130,,148385,
59,British Columbia,,Marital status,      Widowed,,205300,,41550,,163750,
60,Yukon,,Population and dwelling counts,Population in 2011,1,33897,,,...,,...
60,Yukon,,Population and dwelling counts,Population in 2006,1,30372,,,...,,...
60,Yukon,,Population and dwelling counts,2006 to 2011 population change (%),,11.6,,,...,,...
60,Yukon,,Population and dwelling counts,Total private dwellings,2,16259,,,...,,...
60,Yukon,,Population and dwelling counts,Private dwellings occupied by usual residents,3,14117,,,...,,...
60,Yukon,,Population and dwelling counts,Population density per square kilometre,,0.1,,,...,,...
60,Yukon,,Population and dwelling counts,Land area (square km),,474712.64,,,...,,...
60,Yukon,,Age characteristics,Total population by age groups,4,33900,,17060,,16840,
60,Yukon,,Age characteristics,   0 to 4 years,,1975,,1020,,955,
60,Yukon,,Age characteristics,   5 to 9 years,,1900,,970,,930,
60,Yukon,,Age characteristics,   10 to 14 years,,1980,,1025,,960,
60,Yukon,,Age characteristics,   15 to 19 years,,2210,,1140,,1075,
60,Yukon,,Age characteristics,      15 years,,410,,195,,210,
60,Yukon,,Age characteristics,      16 years,,425,,210,,220,
60,Yukon,,Age characteristics,      17 years,,435,,235,,205,
60,Yukon,,Age characteristics,      18 years,,475,,240,,235,
60,Yukon,,Age characteristics,      19 years,,455,,255,,200,
60,Yukon,,Age characteristics,   20 to 24 years,,2225,,1160,,1065,
60,Yukon,,Age characteristics,   25 to 29 years,,2375,,1180,,1195,
60,Yukon,,Age characteristics,   30 to 34 years,,2295,,1075,,1220,
60,Yukon,,Age characteristics,   35 to 39 years,,2425,,1155,,1270,
60,Yukon,,Age characteristics,   40 to 44 years,,2440,,1175,,1265,
60,Yukon,,Age characteristics,   45 to 49 years,,2905,,1365,,1545,
60,Yukon,,Age characteristics,   50 to 54 years,,3175,,1600,,1575,
60,Yukon,,Age characteristics,   55 to 59 years,,2775,,1435,,1340,
60,Yukon,,Age characteristics,   60 to 64 years,,2115,,1115,,1000,
60,Yukon,,Age characteristics,   65 to 69 years,,1300,,740,,560,
60,Yukon,,Age characteristics,   70 to 74 years,,755,,420,,340,
60,Yukon,,Age characteristics,   75 to 79 years,,515,,240,,270,
60,Yukon,,Age characteristics,   80 to 84 years,,300,,150,,150,
60,Yukon,,Age characteristics,   85 years and over,,230,,95,,135,
60,Yukon,,Marital status,Total population 15 years and over by marital status,6,28035,,14040,,13995,
60,Yukon,,Marital status,   Married or living with a common-law partner,,15260,,7620,,7645,
60,Yukon,,Marital status,      Married (and not separated),,10545,,5280,,5265,
60,Yukon,,Marital status,      Living common law,,4715,,2340,,2380,
60,Yukon,,Marital status,   Not married and not living with a common-law partner,,12775,,6420,,6350,
60,Yukon,,Marital status,      Single (never legally married),,8875,,4810,,4065,
60,Yukon,,Marital status,      Separated,,810,,385,,425,
60,Yukon,,Marital status,      Divorced,,2080,,970,,1105,
60,Yukon,,Marital status,      Widowed,,1010,,255,,755,
61,Northwest Territories,,Population and dwelling counts,Population in 2011,1,41462,,,...,,...
61,Northwest Territories,,Population and dwelling counts,Population in 2006,1,41464,,,...,,...
61,Northwest Territories,,Population and dwelling counts,2006 to 2011 population change (%),,0,,,...,,...
61,Northwest Territories,,Population and dwelling counts,Total private dwellings,2,17175,,,...,,...
61,Northwest Territories,,Population and dwelling counts,Private dwellings occupied by usual residents,3,14700,,,...,,...
61,Northwest Territories,,Population and dwelling counts,Population density per square kilometre,,0,,,...,,...
61,Northwest Territories,,Population and dwelling counts,Land area (square km),,1143793.47,,,...,,...
61,Northwest Territories,,Age characteristics,Total population by age groups,4,41460,,21065,,20400,
61,Northwest Territories,,Age characteristics,   0 to 4 years,,3285,,1655,,1630,
61,Northwest Territories,,Age characteristics,   5 to 9 years,,2860,,1435,,1425,
61,Northwest Territories,,Age characteristics,   10 to 14 years,,2865,,1450,,1420,
61,Northwest Territories,,Age characteristics,   15 to 19 years,,3390,,1765,,1625,
61,Northwest Territories,,Age characteristics,      15 years,,695,,355,,345,
61,Northwest Territories,,Age characteristics,      16 years,,640,,360,,285,
61,Northwest Territories,,Age characteristics,      17 years,,675,,355,,325,
61,Northwest Territories,,Age characteristics,      18 years,,685,,360,,330,
61,Northwest Territories,,Age characteristics,      19 years,,685,,340,,345,
61,Northwest Territories,,Age characteristics,   20 to 24 years,,3340,,1690,,1650,
61,Northwest Territories,,Age characteristics,   25 to 29 years,,3440,,1770,,1675,
61,Northwest Territories,,Age characteristics,   30 to 34 years,,3305,,1625,,1680,
61,Northwest Territories,,Age characteristics,   35 to 39 years,,2985,,1445,,1535,
61,Northwest Territories,,Age characteristics,   40 to 44 years,,3035,,1535,,1500,
61,Northwest Territories,,Age characteristics,   45 to 49 years,,3380,,1695,,1685,
61,Northwest Territories,,Age characteristics,   50 to 54 years,,3105,,1615,,1490,
61,Northwest Territories,,Age characteristics,   55 to 59 years,,2390,,1255,,1135,
61,Northwest Territories,,Age characteristics,   60 to 64 years,,1680,,915,,765,
61,Northwest Territories,,Age characteristics,   65 to 69 years,,980,,555,,425,
61,Northwest Territories,,Age characteristics,   70 to 74 years,,580,,280,,305,
61,Northwest Territories,,Age characteristics,   75 to 79 years,,400,,200,,200,
61,Northwest Territories,,Age characteristics,   80 to 84 years,,240,,105,,130,
61,Northwest Territories,,Age characteristics,   85 years and over,,200,,80,,120,
61,Northwest Territories,,Marital status,Total population 15 years and over by marital status,6,32455,,16525,,15925,
61,Northwest Territories,,Marital status,   Married or living with a common-law partner,,17670,,8845,,8825,
61,Northwest Territories,,Marital status,      Married (and not separated),,11375,,5715,,5655,
61,Northwest Territories,,Marital status,      Living common law,,6295,,3130,,3165,
61,Northwest Territories,,Marital status,   Not married and not living with a common-law partner,,14785,,7685,,7100,
61,Northwest Territories,,Marital status,      Single (never legally married),,11785,,6475,,5315,
61,Northwest Territories,,Marital status,      Separated,,785,,370,,410,
61,Northwest Territories,,Marital status,      Divorced,,1300,,615,,685,
61,Northwest Territories,,Marital status,      Widowed,,915,,230,,690,
62,Nunavut,,Population and dwelling counts,Population in 2011,1,31906,,,...,,...
62,Nunavut,,Population and dwelling counts,Population in 2006,1,29474,,,...,,...
62,Nunavut,,Population and dwelling counts,2006 to 2011 population change (%),,8.3,,,...,,...
62,Nunavut,,Population and dwelling counts,Total private dwellings,2,10077,,,...,,...
62,Nunavut,,Population and dwelling counts,Private dwellings occupied by usual residents,3,8661,,,...,,...
62,Nunavut,,Population and dwelling counts,Population density per square kilometre,,0,,,...,,...
62,Nunavut,,Population and dwelling counts,Land area (square km),,1877787.62,,,...,,...
62,Nunavut,,Age characteristics,Total population by age groups,4,31910,,16395,,15510,
62,Nunavut,,Age characteristics,   0 to 4 years,,3970,,2020,,1950,
62,Nunavut,,Age characteristics,   5 to 9 years,,3345,,1720,,1620,
62,Nunavut,,Age characteristics,   10 to 14 years,,3115,,1595,,1515,
62,Nunavut,,Age characteristics,   15 to 19 years,,3060,,1595,,1470,
62,Nunavut,,Age characteristics,      15 years,,650,,340,,305,
62,Nunavut,,Age characteristics,      16 years,,620,,320,,305,
62,Nunavut,,Age characteristics,      17 years,,630,,315,,315,
62,Nunavut,,Age characteristics,      18 years,,575,,325,,255,
62,Nunavut,,Age characteristics,      19 years,,585,,300,,290,
62,Nunavut,,Age characteristics,   20 to 24 years,,2935,,1535,,1400,
62,Nunavut,,Age characteristics,   25 to 29 years,,2630,,1285,,1340,
62,Nunavut,,Age characteristics,   30 to 34 years,,2420,,1195,,1225,
62,Nunavut,,Age characteristics,   35 to 39 years,,1925,,1000,,925,
62,Nunavut,,Age characteristics,   40 to 44 years,,2095,,1080,,1010,
62,Nunavut,,Age characteristics,   45 to 49 years,,1815,,925,,890,
62,Nunavut,,Age characteristics,   50 to 54 years,,1500,,795,,705,
62,Nunavut,,Age characteristics,   55 to 59 years,,1140,,590,,550,
62,Nunavut,,Age characteristics,   60 to 64 years,,905,,495,,410,
62,Nunavut,,Age characteristics,   65 to 69 years,,470,,265,,200,
62,Nunavut,,Age characteristics,   70 to 74 years,,290,,155,,135,
62,Nunavut,,Age characteristics,   75 to 79 years,,185,,105,,85,
62,Nunavut,,Age characteristics,   80 to 84 years,,75,,30,,50,
62,Nunavut,,Age characteristics,   85 years and over,,40,,20,,20,
62,Nunavut,,Marital status,Total population 15 years and over by marital status,6,21480,,11060,,10425,
62,Nunavut,,Marital status,   Married or living with a common-law partner,,11475,,5770,,5715,
62,Nunavut,,Marital status,      Married (and not separated),,6385,,3225,,3155,
62,Nunavut,,Marital status,      Living common law,,5095,,2540,,2555,
62,Nunavut,,Marital status,   Not married and not living with a common-law partner,,10005,,5295,,4710,
62,Nunavut,,Marital status,      Single (never legally married),,8645,,4755,,3885,
62,Nunavut,,Marital status,      Separated,,350,,175,,180,
62,Nunavut,,Marital status,      Divorced,,405,,185,,220,
62,Nunavut,,Marital status,      Widowed,,600,,175,,430,
